stage,algorithm,n,S,median,min,max,std,count,metric
confirm,hybrid,1000000,12,19072727.0,19071105.0,19074177.0,1536.8023078235956,3,comparisons
confirm,hybrid,1000000,16,20223876.0,20220976.0,20226092.0,2565.609479246598,3,comparisons
confirm,hybrid,1000000,32,23188127.0,23184259.0,23194723.0,5290.934637031403,3,comparisons
final,hybrid,10000000,12,226418149.0,226417959.0,226424963.0,3990.0441100318676,3,comparisons
final,original,10000000,1,220099689.0,220095927.0,220101452.0,2822.127979619534,3,comparisons
scale,hybrid,1000,16,10387.0,10304.0,10462.0,79.03374806583179,3,comparisons
scale,hybrid,10000,16,127173.0,126906.0,127279.0,192.20388480291842,3,comparisons
scale,hybrid,100000,16,1639466.0,1639253.0,1639745.0,246.73670176931523,3,comparisons
scale,hybrid,300000,16,5258783.0,5257918.0,5259982.0,1036.4942514713268,3,comparisons
scale,hybrid,1000000,16,20221425.0,20220203.0,20229003.0,4767.238334018601,3,comparisons
scale,hybrid,3000000,16,63552923.0,63550952.0,63555337.0,2196.2263848104444,3,comparisons
scale,hybrid,10000000,16,226419005.0,226412108.0,226420353.0,4422.776993402555,3,comparisons
tune,hybrid,1000,1,8706.0,8698.0,8728.0,15.53490693030799,3,comparisons
tune,hybrid,1000,4,8767.0,8757.0,8804.0,24.758836806279895,3,comparisons
tune,hybrid,1000,8,9109.0,9098.0,9121.0,11.503622617825156,3,comparisons
tune,hybrid,1000,12,9109.0,9098.0,9121.0,11.503622617825156,3,comparisons
tune,hybrid,1000,16,10338.0,10282.0,10353.0,37.42102795666298,3,comparisons
tune,hybrid,1000,24,10338.0,10282.0,10353.0,37.42102795666298,3,comparisons
tune,hybrid,1000,32,13322.0,13296.0,13576.0,154.6997091141415,3,comparisons
tune,hybrid,1000,48,13322.0,13296.0,13576.0,154.6997091141415,3,comparisons
tune,hybrid,1000,64,20179.0,19989.0,20528.0,273.3806869550225,3,comparisons
tune,hybrid,10000,1,120499.0,120434.0,120589.0,77.83529619223573,3,comparisons
tune,hybrid,10000,4,120575.0,120484.0,120604.0,62.61256529909214,3,comparisons
tune,hybrid,10000,8,121589.0,121497.0,121596.0,55.24792605459109,3,comparisons
tune,hybrid,10000,12,127305.0,127144.0,127339.0,104.16493331891103,3,comparisons
tune,hybrid,10000,16,127305.0,127144.0,127339.0,104.16493331891103,3,comparisons
tune,hybrid,10000,24,143492.0,143384.0,143880.0,260.8396697845901,3,comparisons
tune,hybrid,10000,32,143492.0,143384.0,143880.0,260.8396697845901,3,comparisons
tune,hybrid,10000,48,183386.0,183295.0,184257.0,531.094153611203,3,comparisons
tune,hybrid,10000,64,183386.0,183295.0,184257.0,531.094153611203,3,comparisons
tune,hybrid,100000,1,1536373.0,1536162.0,1536514.0,177.1562398938631,3,comparisons
tune,hybrid,100000,4,1536809.0,1536784.0,1536928.0,76.94370236308126,3,comparisons
tune,hybrid,100000,8,1558080.0,1558020.0,1558194.0,88.38551917593742,3,comparisons
tune,hybrid,100000,12,1620212.0,1619532.0,1620415.0,462.47486418182774,3,comparisons
tune,hybrid,100000,16,1639933.0,1639117.0,1640437.0,666.1171068213156,3,comparisons
tune,hybrid,100000,24,1765527.0,1763598.0,1766303.0,1392.853306466015,3,comparisons
tune,hybrid,100000,32,1862878.0,1861359.0,1863730.0,1201.0346928100248,3,comparisons
tune,hybrid,100000,48,1949853.0,1946724.0,1950541.0,2034.4316978786435,3,comparisons
tune,hybrid,100000,64,2384656.0,2382206.0,2385133.0,1570.422342344104,3,comparisons
confirm,hybrid,1000000,12,2.78125,2.546875,2.828125,0.15068204314051492,3,cpu_seconds
confirm,hybrid,1000000,16,2.828125,2.5,4.53125,1.090433961300882,3,cpu_seconds
confirm,hybrid,1000000,32,2.78125,2.578125,2.84375,0.13887803777055607,3,cpu_seconds
final,hybrid,10000000,12,94.078125,85.0,99.90625,7.5119425316597255,3,cpu_seconds
final,original,10000000,1,92.09375,78.96875,92.515625,7.702396010130549,3,cpu_seconds
scale,hybrid,1000,16,0.00109375,0.00103125,0.0013125,0.00014768173832039406,3,cpu_seconds
scale,hybrid,10000,16,0.0178125,0.0175,0.0228125,0.0029810600044279534,3,cpu_seconds
scale,hybrid,100000,16,0.203125,0.1875,0.20625,0.010045469542700988,3,cpu_seconds
scale,hybrid,300000,16,0.734375,0.703125,0.78125,0.03932205435036849,3,cpu_seconds
scale,hybrid,1000000,16,5.40625,3.25,5.75,1.355087827719419,3,cpu_seconds
scale,hybrid,3000000,16,25.078125,23.09375,27.34375,2.12655044541036,3,cpu_seconds
scale,hybrid,10000000,16,74.15625,46.734375,85.0625,19.748209554259805,3,cpu_seconds
tune,hybrid,1000,1,0.00259375,0.00121875,0.002625,0.000803029744675335,3,cpu_seconds
tune,hybrid,1000,4,0.002,0.00178125,0.0020625,0.00014768173832039406,3,cpu_seconds
tune,hybrid,1000,8,0.00165625,0.00121875,0.00171875,0.00027243118397129204,3,cpu_seconds
tune,hybrid,1000,12,0.0016875,0.0015,0.00171875,0.00011831059053750561,3,cpu_seconds
tune,hybrid,1000,16,0.001625,0.0015,0.0016875,9.547032697824657e-05,3,cpu_seconds
tune,hybrid,1000,24,0.00184375,0.00178125,0.00196875,9.547032697824668e-05,3,cpu_seconds
tune,hybrid,1000,32,0.001875,0.00096875,0.00209375,0.0005964849292591837,3,cpu_seconds
tune,hybrid,1000,48,0.002125,0.00203125,0.0023125,0.00014320549046737001,3,cpu_seconds
tune,hybrid,1000,64,0.00278125,0.00246875,0.0028125,0.00019008632907181923,3,cpu_seconds
tune,hybrid,10000,1,0.03625,0.034375,0.040625,0.003207250899654306,3,cpu_seconds
tune,hybrid,10000,4,0.03,0.025625,0.030625,0.002724311839712921,3,cpu_seconds
tune,hybrid,10000,8,0.0284375,0.0259375,0.03375,0.003989732917126159,3,cpu_seconds
tune,hybrid,10000,12,0.0271875,0.0259375,0.0278125,0.0009547032697824678,3,cpu_seconds
tune,hybrid,10000,16,0.02875,0.0228125,0.0309375,0.004204257514710535,3,cpu_seconds
tune,hybrid,10000,24,0.029375,0.0284375,0.030625,0.001097463932588825,3,cpu_seconds
tune,hybrid,10000,32,0.0259375,0.023125,0.03,0.003456387504799388,3,cpu_seconds
tune,hybrid,10000,48,0.0321875,0.0296875,0.0325,0.0015415258944738292,3,cpu_seconds
tune,hybrid,10000,64,0.0290625,0.0284375,0.030625,0.0011267347735824953,3,cpu_seconds
tune,hybrid,100000,1,0.471875,0.340625,0.609375,0.13438711185725116,3,cpu_seconds
tune,hybrid,100000,4,0.528125,0.428125,0.546875,0.06383980602518567,3,cpu_seconds
tune,hybrid,100000,8,0.471875,0.415625,0.496875,0.041614550740496206,3,cpu_seconds
tune,hybrid,100000,12,0.44375,0.384375,0.496875,0.05627892774683372,3,cpu_seconds
tune,hybrid,100000,16,0.46875,0.19375,0.471875,0.15968107863801523,3,cpu_seconds
tune,hybrid,100000,24,0.44375,0.440625,0.46875,0.015415258944738301,3,cpu_seconds
tune,hybrid,100000,32,0.3875,0.203125,0.503125,0.15130723779229244,3,cpu_seconds
tune,hybrid,100000,48,0.509375,0.4375,0.534375,0.0502921154357222,3,cpu_seconds
tune,hybrid,100000,64,0.515625,0.425,0.59375,0.08445212524462209,3,cpu_seconds
