stage,algorithm,n,S,median,min,max,std,count,metric
confirm,hybrid,10000,1,120218.0,120035.0,120275.0,125.3913872640382,3,comparisons
confirm,hybrid,10000,4,120221.0,120131.0,120331.0,100.16652800877625,3,comparisons
confirm,hybrid,10000,8,121186.0,121039.0,121249.0,107.76363022838457,3,comparisons
final,hybrid,10000,8,121172.0,121161.0,121329.0,93.98049443013987,3,comparisons
final,original,10000,1,120240.0,120197.0,120260.0,32.19213154380172,3,comparisons
scale,hybrid,1000,8,9113.0,9085.0,9113.0,16.165807537309654,3,comparisons
scale,hybrid,3000,8,31420.0,31365.0,31434.0,36.47373484212024,3,comparisons
scale,hybrid,10000,8,121276.0,121256.0,121337.0,42.19399641339341,3,comparisons
tune,hybrid,1000,1,8709.0,8669.0,8715.0,25.00666577801484,3,comparisons
tune,hybrid,1000,4,8750.0,8738.0,8770.0,16.165807537309483,3,comparisons
tune,hybrid,1000,8,9128.0,9055.0,9141.0,46.357307945997036,3,comparisons
tune,hybrid,1000,16,10345.0,10274.0,10374.0,51.44900387762624,3,comparisons
tune,hybrid,1000,32,13392.0,13287.0,13486.0,99.5506571215544,3,comparisons
tune,hybrid,3000,1,30849.0,30809.0,30885.0,38.01753981168823,3,comparisons
tune,hybrid,3000,4,30891.0,30807.0,30913.0,55.94044452212882,3,comparisons
tune,hybrid,3000,8,31499.0,31355.0,31519.0,89.47252837230698,3,comparisons
tune,hybrid,3000,16,33716.0,33541.0,33736.0,107.2769002783602,3,comparisons
tune,hybrid,3000,32,39816.0,39693.0,40278.0,308.43637917729484,3,comparisons
confirm,hybrid,10000,1,0.0234375,0.0234375,0.0234375,0.0,3,cpu_seconds
confirm,hybrid,10000,4,0.0234375,0.015625,0.0234375,0.004510548978043952,3,cpu_seconds
confirm,hybrid,10000,8,0.015625,0.015625,0.0234375,0.004510548978043952,3,cpu_seconds
final,hybrid,10000,8,0.015625,0.015625,0.015625,0.0,3,cpu_seconds
final,original,10000,1,0.015625,0.015625,0.0234375,0.004510548978043952,3,cpu_seconds
scale,hybrid,1000,8,0.00078125,0.00078125,0.0015625,0.00045105489780439517,3,cpu_seconds
scale,hybrid,3000,8,0.0052083333333333,0.0026041666666666,0.0052083333333333,0.0015035163260146696,3,cpu_seconds
scale,hybrid,10000,8,0.0078125,0.0078125,0.015625,0.004510548978043951,3,cpu_seconds
tune,hybrid,1000,1,0.0015625,0.00078125,0.0015625,0.00045105489780439506,3,cpu_seconds
tune,hybrid,1000,4,0.0015625,0.00078125,0.0015625,0.00045105489780439517,3,cpu_seconds
tune,hybrid,1000,8,0.00078125,0.00078125,0.0015625,0.00045105489780439517,3,cpu_seconds
tune,hybrid,1000,16,0.0015625,0.00078125,0.0015625,0.00045105489780439506,3,cpu_seconds
tune,hybrid,1000,32,0.0015625,0.00078125,0.00234375,0.0007812499999999998,3,cpu_seconds
tune,hybrid,3000,1,0.0052083333333333,0.0052083333333333,0.0052083333333333,0.0,3,cpu_seconds
tune,hybrid,3000,4,0.0052083333333333,0.0052083333333333,0.0052083333333333,0.0,3,cpu_seconds
tune,hybrid,3000,8,0.0052083333333333,0.0026041666666666,0.0052083333333333,0.0015035163260146696,3,cpu_seconds
tune,hybrid,3000,16,0.0052083333333333,0.0052083333333333,0.0052083333333333,0.0,3,cpu_seconds
tune,hybrid,3000,32,0.0052083333333333,0.0052083333333333,0.0052083333333333,0.0,3,cpu_seconds
