case_id,config_hash,environment_id,experiment,stage,algorithm,n,S,x,seed,repeat,measurement_mode,comparisons,cpu_seconds,wall_seconds,sort_batch_size,cpu_total_seconds,wall_total_seconds,order_position,length_ok,order_ok,integrity_method,integrity_ok,input_sum,input_sum_squares,input_xor,dataset_sha256,output_sha256,rss_bytes_after,python_version,platform,completed_utc
tune:1000:0:hybrid:8:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,8,1000000,310100,0,counted,9121,,,1,,,0,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45223936,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:12.621658+00:00
tune:1000:0:hybrid:4:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,4,1000000,310100,0,counted,8804,,,1,,,1,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45305856,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:12.641475+00:00
tune:1000:0:hybrid:1:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,1,1000000,310100,0,timed,,0.00121875,0.001224483799887821,500,0.609375,0.6122418999439105,2,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45703168,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:13.272297+00:00
tune:1000:0:hybrid:1:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,1,1000000,310100,0,counted,8728,,,1,,,3,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45727744,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:13.290278+00:00
tune:1000:0:hybrid:32:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,32,1000000,310100,0,timed,,0.00096875,0.0009481997999828309,500,0.484375,0.47409989999141544,4,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45580288,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:13.781217+00:00
tune:1000:0:hybrid:8:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,8,1000000,310100,0,timed,,0.00121875,0.0012607431998476386,500,0.609375,0.6303715999238193,5,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45563904,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:14.431120+00:00
tune:1000:0:hybrid:24:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,24,1000000,310100,0,timed,,0.00184375,0.0018439278001897038,500,0.921875,0.9219639000948519,6,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45690880,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:15.384724+00:00
tune:1000:0:hybrid:12:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,12,1000000,310100,0,counted,9121,,,1,,,7,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45797376,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:15.414059+00:00
tune:1000:0:hybrid:4:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,4,1000000,310100,0,timed,,0.002,0.002063338799867779,500,1.0,1.0316693999338895,8,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45780992,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.476646+00:00
tune:1000:0:hybrid:16:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,16,1000000,310100,0,counted,10338,,,1,,,9,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45981696,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.502259+00:00
tune:1000:0:hybrid:32:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,32,1000000,310100,0,counted,13322,,,1,,,10,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46100480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.523181+00:00
tune:1000:0:hybrid:64:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310100,0,counted,19989,,,1,,,11,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46100480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.557634+00:00
tune:1000:0:hybrid:64:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310100,0,timed,,0.00278125,0.002818061799975112,500,1.390625,1.409030899987556,12,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45842432,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:18.000223+00:00
tune:1000:0:hybrid:48:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,48,1000000,310100,0,timed,,0.0023125,0.002371121000032872,500,1.15625,1.185560500016436,13,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45985792,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:19.221906+00:00
tune:1000:0:hybrid:24:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,24,1000000,310100,0,counted,10338,,,1,,,14,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46231552,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:19.255623+00:00
