case_id,config_hash,environment_id,experiment,stage,algorithm,n,S,x,seed,repeat,measurement_mode,comparisons,cpu_seconds,wall_seconds,sort_batch_size,cpu_total_seconds,wall_total_seconds,order_position,length_ok,order_ok,integrity_method,integrity_ok,input_sum,input_sum_squares,input_xor,dataset_sha256,output_sha256,rss_bytes_after,python_version,platform,completed_utc
tune:1000:0:hybrid:1:counted,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,1,100,12300,0,counted,8715,,,1,,,0,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,28950528,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.436207+00:00
tune:1000:0:hybrid:4:timed,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,4,100,12300,0,timed,,0.003125,0.0035633700026664883,20,0.0625,0.07126740005332977,1,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,28999680,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.529514+00:00
tune:1000:0:hybrid:8:timed,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,8,100,12300,0,timed,,0.003125,0.002577800001017749,20,0.0625,0.051556000020354986,2,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29184000,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.595863+00:00
tune:1000:0:hybrid:8:counted,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,8,100,12300,0,counted,9128,,,1,,,3,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29188096,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.611140+00:00
tune:1000:0:hybrid:1:timed,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,1,100,12300,0,timed,,0.00390625,0.00403806499671191,20,0.078125,0.0807612999342382,4,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29192192,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.702251+00:00
tune:1000:0:hybrid:32:counted,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,32,100,12300,0,counted,13392,,,1,,,5,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29192192,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.721459+00:00
tune:1000:0:hybrid:16:counted,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,16,100,12300,0,counted,10274,,,1,,,6,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29192192,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.736402+00:00
tune:1000:0:hybrid:4:counted,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,4,100,12300,0,counted,8770,,,1,,,7,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29196288,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.751536+00:00
tune:1000:0:hybrid:16:timed,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,16,100,12300,0,timed,,0.003125,0.0023948749992996456,20,0.0625,0.04789749998599291,8,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29204480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.812507+00:00
tune:1000:0:hybrid:32:timed,fae87c98836c6b12625f5a651a5cdaeae9e210b215a7afc073e3905302db1f28,3250f7dcb58c3614,c(iii),tune,hybrid,1000,32,100,12300,0,timed,,0.003125,0.003057664999505505,20,0.0625,0.0611532999901101,9,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29204480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-14T13:04:05.887748+00:00
