case_id,config_hash,environment_id,experiment,stage,algorithm,n,S,x,seed,repeat,measurement_mode,comparisons,cpu_seconds,wall_seconds,sort_batch_size,cpu_total_seconds,wall_total_seconds,order_position,length_ok,order_ok,integrity_method,integrity_ok,input_sum,input_sum_squares,input_xor,dataset_sha256,output_sha256,rss_bytes_after,python_version,platform,completed_utc
tune:1000:0:hybrid:1:counted,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,1,100,12300,0,counted,8715,,,1,,,0,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,28811264,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.291807+00:00
tune:1000:0:hybrid:4:timed,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,4,100,12300,0,timed,,0.0015625,0.0012152599985711277,20,0.03125,0.024305199971422553,1,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29020160,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.324127+00:00
tune:1000:0:hybrid:8:timed,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,8,100,12300,0,timed,,0.00078125,0.000846214999910444,20,0.015625,0.01692429999820888,2,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29224960,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.346542+00:00
tune:1000:0:hybrid:8:counted,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,8,100,12300,0,counted,9128,,,1,,,3,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29229056,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.353707+00:00
tune:1000:0:hybrid:1:timed,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,1,100,12300,0,timed,,0.00078125,0.0012069399992469699,20,0.015625,0.024138799984939396,4,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29233152,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.383250+00:00
tune:1000:0:hybrid:32:counted,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,32,100,12300,0,counted,13392,,,1,,,5,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29233152,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.389533+00:00
tune:1000:0:hybrid:16:counted,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,16,100,12300,0,counted,10274,,,1,,,6,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29233152,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.397001+00:00
tune:1000:0:hybrid:4:counted,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,4,100,12300,0,counted,8770,,,1,,,7,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29233152,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.403162+00:00
tune:1000:0:hybrid:16:timed,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,16,100,12300,0,timed,,0.00078125,0.0008485750004183501,20,0.015625,0.016971500008367002,8,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29233152,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.426081+00:00
tune:1000:0:hybrid:32:timed,a7a39d252f9e751d19ea16dbb1afa28a9bb7a5994ed037e179d55230e31342a3,35aa442b72a0e70d,c(iii),tune,hybrid,1000,32,100,12300,0,timed,,0.00078125,0.0009660949988756328,20,0.015625,0.019321899977512658,9,True,True,exact_histogram+sum+squares+xor,True,50680,3389548,76,2bf2b0045e285e0fd20c5dca00e5d553681788f3628ceb9e454c06cf22f8aaa8,afacc96c61b086c82d8f1898f0150eb23fa9c5baeb4f3c0c32b514e3b948677c,29241344,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:54:49.450900+00:00
